respondent_age_group,gender,education_level,occupation_type,monthly_income_range,location_state,most_used_network  ,network_rating_in_area,data_purchase_frequency,monthly_data_usage_in_GB,device_used_for_internet,main_data_usage_purpose, monthly_data_budget ,primary_mobile_network,network_speed_satisfaction,data_affordability_opinion,best_value_network,run_out_of_data_frequency,switched_network_reason,biggest_data_frustration
26-35,Male,Undergraduate,Student,"?50,000– ?99,000",Kwara,MTN,3,Monthly,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Satisfied,Quite expensive,MTN,Rarely,"Yes, due to poor network quality",Limited coverage in my area
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,2,Weekly,25,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","10,000.00",Two,Neutral,Quite expensive,MTN,Occasionally,"Yes, due to poor network quality",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Abuja,Airtel,2,Every 2–3 days,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Neutral,Quite expensive,Airtel,Occasionally,"Yes, due to other reasons",High cost
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,3,Every 2–3 days,3.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Dissatisfied,Very expensive,None — all are too expensive,Very often,"Yes, due to high cost",Data finishes too fast
18-25,Male,Undergraduate,Employed,"?100,000 – ?199,000",Kwara,MTN,1,Every 2–3 days,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",One,Very dissatisfied,Very expensive,None — all are too expensive,Very often,"No, I’ve stayed with my current provider",Poor network speed
26-35,Male,Undergraduate,Student,"?50,000– ?99,000",Kwara,Airtel,2,Every 2–3 days,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Neutral,Quite expensive,Glo,Very often,"Yes, due to high cost",High cost
18-25,Male,Secondary school,Student,"Below ?50,000",Kwara,Glo,5,Every 2–3 days,8,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","7,500.00",Two,Satisfied,Neutral,Glo,Occasionally,"Yes, due to high cost",High cost
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,Airtel,4,Biweekly,8,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","2,000.00",Three or more,Satisfied,Quite expensive,Airtel,Never,"Yes, due to poor network quality",Poor network speed
18-25,Male,Undergraduate,Student,"?200,000 – ?299,000",Kwara,MTN,1,Daily,25,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","10,000.00",Two,Neutral,Neutral,MTN,Very often,"Yes, due to poor network quality",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Osun,MTN,2,Weekly,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Dissatisfied,Very expensive,Glo,Very often,"Yes, due to high cost",High cost
18-25,Male,Undergraduate,Student,"?50,000– ?99,000",Kwara,Airtel,4,Monthly,15.5,Smartphone,Online learning or research,"4,000.00",Two,Dissatisfied,Quite expensive,Glo,Very often,"Yes, due to poor network quality",Poor network speed
26-35,Male,Undergraduate,Student,"Below ?50,000",Kwara,Airtel,3,Weekly,15.5,Smartphone,Online learning or research,"4,000.00",Two,Neutral,Quite expensive,None — all are too expensive,Occasionally,"Yes, due to high cost",High cost
18-25,Female,Undergraduate,Student,"Below ?50,000",Kwara,MTN,3,Daily,25,Laptop,"Business/Work-related tasks (emails, meetings, etc.)","4,000.00",Two,Dissatisfied,Very expensive,Glo,Very often,"Yes, due to high cost",Data finishes too fast
18-25,Male,Secondary school,Student,"Below ?50,000",Lagos,MTN,3,Monthly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Two,Satisfied,Very expensive,MTN,Very often,"Yes, due to high cost",High cost
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,Airtel,2,Daily,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,000.00",One,Neutral,Very expensive,Airtel,Very often,"No, I’ve stayed with my current provider",High cost
18-25,Female,Graduate,Self employed,"?50,000– ?99,000",Ogun,Glo,4,Every 2–3 days,25,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","10,000.00",Three or more,Neutral,Quite expensive,Glo,Very often,"Yes, due to high cost",High cost
18-25,Male,Graduate,Self employed,"?100,000 – ?199,000",Lagos,Airtel,3,Weekly,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Neutral,Fairly affordable,Airtel,Very often,"Yes, due to poor network quality",Poor network speed
18-25,Female,Postgraduate,Employed,"Above ?300,000",Kwara,Glo,4,Monthly,15.5,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","7,500.00",One,Satisfied,Quite expensive,Glo,Rarely,"Yes, due to poor network quality",High cost
18-25,Male,Undergraduate,Student,"Below ?50,000",Oyo,Airtel,2,Monthly,1,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,000.00",Two,Neutral,Neutral,MTN,Occasionally,"Yes, due to poor network quality",Poor network speed
18-25,Male,Undergraduate,Student,"?50,000– ?99,000",Kwara,MTN,3,Monthly,15.5,Smartphone,Online learning or research,"7,500.00",Two,Neutral,Neutral,MTN,Occasionally,"No, I’ve stayed with my current provider",Poor network speed
26-35,Female,Graduate,Student,"?50,000– ?99,000",Osun,Glo,4,Weekly,3.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,000.00",Two,Satisfied,Quite expensive,Glo,Very often,"Yes, due to high cost",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,2,Every 2–3 days,25,Smartphone,Online learning or research,"10,000.00",Two,Dissatisfied,Very expensive,Glo,Very often,"Yes, due to poor network quality",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,3,Every 2–3 days,25,Smartphone,Streaming videos or music,"7,500.00",Two,Neutral,Quite expensive,MTN,Very often,"Yes, due to high cost",High cost
18-25,Female,Undergraduate,Student,"Below ?50,000",Kwara,MTN,3,Weekly,15.5,Smartphone,Online learning or research,"2,500.00",Two,Satisfied,Quite expensive,Glo,Very often,"Yes, due to poor network quality",High cost
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,Glo,4,Every 2–3 days,25,Laptop,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,000.00",One,Neutral,Neutral,Glo,Occasionally,"Yes, due to poor network quality",Data finishes too fast
18-25,Female,Graduate,Employed,"?100,000 – ?199,000",Abuja,MTN,2,Monthly,25,Laptop,Online learning or research,"10,000.00",Two,Very dissatisfied,Very expensive,None — all are too expensive,Rarely,"Yes, due to poor network quality",Poor network speed
26-35,Male,Graduate,Unemployed,"Below ?50,000",Lagos,Airtel,4,Weekly,8,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","4,000.00",Three or more,Neutral,Very expensive,Glo,Very often,"Yes, due to poor network quality",High cost
26-35,Female,Undergraduate,Unemployed,"Below ?50,000",Oyo,Glo,3,Weekly,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Neutral,Very expensive,Glo,Very often,"Yes, due to high cost",High cost
18-25,Male,Undergraduate,Self employed,"?50,000– ?99,000",Kwara,Glo,4,Monthly,25,Smartphone,Online learning or research,"4,000.00",Two,Satisfied,Fairly affordable,Glo,Very often,"Yes, due to high cost",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,Airtel,2,Weekly,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Satisfied,Very expensive,Glo,Very often,"Yes, due to poor network quality",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,Glo,4,Every 2–3 days,15.5,Smartphone,Online learning or research,"4,000.00",Two,Satisfied,Quite expensive,None — all are too expensive,Very often,"Yes, due to poor network quality",Data finishes too fast
18-25,Male,Undergraduate,Student,"?100,000 – ?199,000",Kwara,Airtel,3,Monthly,25,Smartphone,Streaming videos or music,"10,000.00",Two,Neutral,Very expensive,Airtel,Never,"Yes, due to poor network quality",Poor network speed
18-25,Female,Undergraduate,Student,"?50,000– ?99,000",Kwara,MTN,3,Every 2–3 days,3.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,500.00",One,Satisfied,Neutral,Glo,Occasionally,"Yes, due to poor network quality",Data finishes too fast
18-25,Male,Undergraduate,Student,"?50,000– ?99,000",Kwara,MTN,1,Daily,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Dissatisfied,Fairly affordable,Airtel,Very often,"Yes, due to poor network quality",Poor network speed
18-25,Female,Graduate,Self employed,"?100,000 – ?199,000",Lagos,MTN,3,Every 2–3 days,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Satisfied,Quite expensive,MTN,Occasionally,"Yes, due to high cost",Data finishes too fast
26-35,Male,Undergraduate,Employed,"?100,000 – ?199,000",Jigawa,MTN,4,Weekly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Two,Neutral,Very expensive,MTN,Rarely,"No, I’ve stayed with my current provider",Lack of transparency in data usage
18-25,Female,Undergraduate,Student,"?50,000– ?99,000",Kwara,Airtel,4,Every 2–3 days,25,Other,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Three or more,Very dissatisfied,Fairly affordable,Glo,Very often,"Yes, due to high cost",Lack of transparency in data usage
26-35,Male,Undergraduate,Unemployed,"Below ?50,000",Kaduna,Glo,4,Weekly,3.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",One,Satisfied,Fairly affordable,Glo,Never,"Yes, due to poor network quality",Poor network speed
26-35,Female,Graduate,Self employed,"?50,000– ?99,000",Kwara,Glo,5,Every 2–3 days,25,Smartphone,Online learning or research,"7,500.00",Two,Satisfied,Quite expensive,Glo,Very often,"Yes, due to high cost",High cost
18-25,Female,Graduate,Self employed,"Below ?50,000",Kwara,Glo,5,Every 2–3 days,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Two,Very satisfied,Quite expensive,None — all are too expensive,Very often,"Yes, due to high cost",High cost
18-25,Female,Undergraduate,Student,"Below ?50,000",Osun,MTN,1,Every 2–3 days,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Two,Very satisfied,Quite expensive,None — all are too expensive,Very often,"Yes, due to high cost",High cost
26-35,Male,Undergraduate,Student,"?50,000– ?99,000",Oyo,Airtel,4,Weekly,3.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Neutral,Very expensive,Airtel,Occasionally,"Yes, due to poor network quality",Data finishes too fast
49-55,Female,Postgraduate,Employed,"?100,000 – ?199,000",Kwara,Airtel,4,Monthly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Satisfied,Quite expensive,Airtel,Occasionally,"Yes, due to poor network quality",Lack of transparency in data usage
36-45,Female,Graduate,Employed,"?100,000 – ?199,000",Edo,9moblie,3,Weekly,3.5,Tablet,Online learning or research,"4,000.00",One,Neutral,Neutral,Glo,Rarely,"Yes, due to poor network quality",Lack of transparency in data usage
26-35,Female,Graduate,Self employed,"?100,000 – ?199,000",Enugu,Airtel,3,Biweekly,3.5,Tablet,Online learning or research,"2,500.00",Two,Dissatisfied,Neutral,MTN,Very often,"Yes, due to poor network quality",Data finishes too fast
36-45,Male,Postgraduate,Employed,"?100,000 – ?199,000",Kogi,Airtel,2,Weekly,8,Other,Online learning or research,"2,500.00",One,Neutral,Fairly affordable,9mobile,Very often,"Yes, due to high cost",Poor network speed
18-25,Male,Undergraduate,Student,"Below ?50,000",Lagos,Airtel,4,Daily,25,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",Two,Satisfied,Very expensive,Glo,Very often,"Yes, due to high cost",Lack of transparency in data usage
36-45,Female,Undergraduate,Employed,"?100,000 – ?199,000",Kwara,Airtel,1,Weekly,3.5,Laptop,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",One,Satisfied,Neutral,MTN,Occasionally,"Yes, due to poor network quality",Poor network speed
26-35,Female,Secondary school,Employed,"?50,000– ?99,000",Kwara,Airtel,3,Weekly,8,Tablet,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,000.00",Two,Satisfied,Fairly affordable,MTN,Rarely,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Secondary school,Student,"Below ?50,000",Kwara,Glo,1,Every 2–3 days,3.5,Tablet,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,500.00",One,Neutral,Fairly affordable,Glo,Occasionally,"Yes, due to other reasons",Data finishes too fast
36-45,Female,Undergraduate,Employed,"Below ?50,000",Kebbi,Airtel,3,Every 2–3 days,3.5,Laptop,Online learning or research,"2,500.00",Two,Neutral,Fairly affordable,Airtel,Very often,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Graduate,Employed,"?50,000– ?99,000",Lagos,9moblie,3,Weekly,3.5,Laptop,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",Two,Neutral,Quite expensive,Airtel,Very often,"Yes, due to other reasons",Data finishes too fast
26-35,Female,Graduate,Employed,"?50,000– ?99,000",Kwara,Glo,4,Every 2–3 days,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","4,000.00",One,Satisfied,Fairly affordable,Glo,Very often,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Graduate,Unemployed,"Below ?50,000",Jigawa,MTN,2,Weekly,3.5,Smartphone,Streaming videos or music,"2,500.00",One,Very satisfied,Fairly affordable,Airtel,Rarely,"Yes, due to poor network quality",High cost
26-35,Male,Graduate,Employed,"Above ?300,000",Lagos,Airtel,5,Biweekly,25,Laptop,"Business/Work-related tasks (emails, meetings, etc.)","10,000.00",One,Very satisfied,Fairly affordable,Airtel,Occasionally,"Yes, due to poor network quality",Data finishes too fast
18-25,Female,Undergraduate,Student,"Below ?50,000",Lagos,MTN,5,Weekly,8,Smartphone,Online learning or research,"7,500.00",Two,Satisfied,Fairly affordable,Glo,Very often,"Yes, due to high cost",Lack of transparency in data usage
36-45,Female,Graduate,Self employed,"?200,000 – ?299,000",Kano,MTN,3,Every 2–3 days,8,Tablet,Online learning or research,"2,500.00",Two,Neutral,Fairly affordable,Airtel,Occasionally,"Yes, due to poor network quality",Poor network speed
26-35,Female,Graduate,Unemployed,"?100,000 – ?199,000",Katsina,Airtel,3,Daily,8,Tablet,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,500.00",Two,Neutral,Quite expensive,MTN,Occasionally,"Yes, due to poor network quality",Poor network speed
36-45,Male,Postgraduate,Employed,"?200,000 – ?299,000",Borno,9moblie,4,Weekly,15.5,Laptop,Online learning or research,"10,000.00",Two,Satisfied,Fairly affordable,Airtel,Occasionally,"Yes, due to poor network quality",Poor network speed
18-25,Male,Secondary school,Student,"Below ?50,000",Ekiti,Airtel,4,Weekly,1,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,000.00",One,Satisfied,Quite expensive,Glo,Very often,"Yes, due to poor network quality",High cost
49-55,Female,Other,Self employed,"?200,000 – ?299,000",Lagos,MTN,5,Monthly,25,Laptop,"Business/Work-related tasks (emails, meetings, etc.)","10,000.00",Two,Satisfied,Very affordable,Glo,Very often,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Undergraduate,Employed,"?50,000– ?99,000",Enugu,Airtel,4,Weekly,8,Tablet,"Business/Work-related tasks (emails, meetings, etc.)","2,500.00",Two,Neutral,Fairly affordable,MTN,Occasionally,"Yes, due to poor network quality",Data finishes too fast
26-35,Female,Graduate,Unemployed,"?100,000 – ?199,000",Kebbi,Airtel,2,Every 2–3 days,3.5,Laptop,Online learning or research,"2,500.00",One,Neutral,Neutral,MTN,Rarely,"Yes, due to other reasons",Poor network speed
36-45,Female,Graduate,Employed,"?50,000– ?99,000",Gombe,Airtel,2,Weekly,3.5,Smartphone,"Business/Work-related tasks (emails, meetings, etc.)","4,000.00",Two,Neutral,Neutral,Airtel,Never,"Yes, due to other reasons",Poor network speed
26-35,Female,Secondary school,Self employed,"?100,000 – ?199,000",Kwara,MTN,3,Monthly,15.5,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,500.00",One,Satisfied,Quite expensive,MTN,Occasionally,"Yes, due to poor network quality",Poor network speed
36-45,Female,Graduate,Student,"?50,000– ?99,000",Lagos,9moblie,4,Weekly,8,Tablet,Online learning or research,"4,000.00",Two,Dissatisfied,Neutral,9mobile,Occasionally,"Yes, due to poor network quality",Data finishes too fast
18-25,Female,Undergraduate,Student,"?50,000– ?99,000",Kwara,MTN,3,Every 2–3 days,25,Smartphone,Online learning or research,"7,500.00",Three or more,Very dissatisfied,Very expensive,None — all are too expensive,Very often,"Yes, due to high cost",Poor network speed
36-45,Female,Undergraduate,Student,"?50,000– ?99,000",Nasarawa,Airtel,3,Every 2–3 days,15.5,Tablet,Online learning or research,"4,000.00",Two,Neutral,Fairly affordable,Airtel,Rarely,"Yes, due to other reasons",Poor network speed
49-55,Female,Graduate,Employed,"?100,000 – ?199,000",Nasarawa,MTN,3,Weekly,15.5,Tablet,"Business/Work-related tasks (emails, meetings, etc.)","4,000.00",One,Dissatisfied,Neutral,9mobile,Very often,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Graduate,Self employed,"?100,000 – ?199,000",Kebbi,Airtel,3,Weekly,8,Tablet,Streaming videos or music,"2,500.00",Two,Neutral,Neutral,9mobile,Very often,"Yes, due to poor network quality",Data finishes too fast
36-45,Male,Graduate,Employed,"?50,000– ?99,000",Kwara,MTN,2,Weekly,3.5,Tablet,Online learning or research,"4,000.00",One,Very dissatisfied,Quite expensive,Airtel,Rarely,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Graduate,Employed,"?100,000 – ?199,000",Kwara,Airtel,3,Weekly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","2,000.00",Two,Neutral,Fairly affordable,MTN,Occasionally,"Yes, due to high cost",Poor network speed
36-45,Male,Graduate,Self employed,"?50,000– ?99,000",Nasarawa,Glo,3,Weekly,8,Laptop,Online learning or research,"4,000.00",Three or more,Neutral,Neutral,Airtel,Rarely,"Yes, due to high cost",Data finishes too fast
49-55,Female,Graduate,Self employed,"?200,000 – ?299,000",Ogun,9moblie,3,Every 2–3 days,8,Other,Streaming videos or music,"4,000.00",Two,Neutral,Quite expensive,Airtel,Occasionally,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Graduate,Employed,"?100,000 – ?199,000",Katsina,MTN,3,Weekly,3.5,Smartphone,Online learning or research,"2,500.00",One,Dissatisfied,Fairly affordable,Airtel,Occasionally,"Yes, due to high cost",Data finishes too fast
36-45,Female,Undergraduate,Self employed,"?50,000– ?99,000",Kebbi,Airtel,2,Weekly,8,Tablet,Online learning or research,"4,000.00",Two,Neutral,Fairly affordable,,Very often,"Yes, due to poor network quality",High cost
49-55,Male,Graduate,Self employed,"?100,000 – ?199,000",Nasarawa,Glo,3,Every 2–3 days,15.5,Smartphone,Online learning or research,"2,500.00",One,Satisfied,Neutral,Airtel,Very often,"Yes, due to poor network quality",Poor network speed
36-45,Female,Graduate,Self employed,"?50,000– ?99,000",Ogun,Airtel,2,Every 2–3 days,1,Tablet,Online learning or research,"2,500.00",One,Dissatisfied,Quite expensive,Glo,Very often,"Yes, due to poor network quality",Data finishes too fast
36-45,Female,Postgraduate,Employed,"?200,000 – ?299,000",Nasarawa,Glo,3,Weekly,8,Smartphone,Online learning or research,"2,500.00",Three or more,Very satisfied,Fairly affordable,MTN,Occasionally,"Yes, due to other reasons",Poor network speed
26-35,Male,Graduate,Employed,"?100,000 – ?199,000",Lagos,Glo,4,Monthly,8,Tablet,Online learning or research,"7,500.00",One,Neutral,Quite expensive,MTN,Rarely,"Yes, due to other reasons",Data finishes too fast
36-45,Male,Undergraduate,Employed,"?200,000 – ?299,000",Lagos,Airtel,4,Weekly,3.5,Tablet,Online learning or research,"2,500.00",Two,Satisfied,Fairly affordable,Airtel,Occasionally,"Yes, due to other reasons",Poor network speed
36-45,Male,Graduate,Employed,"?50,000– ?99,000",Kogi,Airtel,3,Every 2–3 days,8,Tablet,"Business/Work-related tasks (emails, meetings, etc.)","2,500.00",Three or more,Satisfied,Fairly affordable,Airtel,Very often,"Yes, due to other reasons",Poor network speed
36-45,Female,Graduate,Student,"?100,000 – ?199,000",Niger,Airtel,2,Weekly,15.5,Other,"Business/Work-related tasks (emails, meetings, etc.)","4,000.00",Two,Neutral,Neutral,None — all are too expensive,Occasionally,"Yes, due to other reasons",Data finishes too fast
26-35,Male,Graduate,Employed,"?200,000 – ?299,000",Niger,MTN,2,Weekly,8,Laptop,Streaming videos or music,"7,500.00",Two,Dissatisfied,Fairly affordable,9mobile,Rarely,"Yes, due to poor network quality",Data finishes too fast
49-55,Male,Undergraduate,Self employed,"?100,000 – ?199,000",Niger,Glo,3,Biweekly,8,Laptop,Online learning or research,"4,000.00",Three or more,Dissatisfied,Quite expensive,MTN,Occasionally,"Yes, due to other reasons",Data finishes too fast
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,4,Monthly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","10,000.00",Two,Dissatisfied,Quite expensive,MTN,Rarely,"Yes, due to poor network quality",High cost
18-25,Female,Undergraduate,Student,"?50,000– ?99,000",Kwara,MTN,5,Monthly,8,Smartphone,"Social media (WhatsApp, Instagram, TikTok, etc.)","7,500.00",One,Satisfied,Very expensive,Glo,Very often,"Yes, due to high cost",High cost
18-25,Male,Undergraduate,Student,"Below ?50,000",Kwara,MTN,2,Monthly,8,Smartphone,Online learning or research,"10,000.00",One,Dissatisfied,Quite expensive,None — all are too expensive,Occasionally,"Yes, due to poor network quality",Poor network speed
26-35,Female,Undergraduate,Student,"Below ?50,000",Lagos,MTN,5,Every 2–3 days,8,Smartphone,Streaming videos or music,"7,500.00",Two,Neutral,Fairly affordable,Glo,Very often,"Yes, due to poor network quality",Data finishes too fast
26-35,Female,Postgraduate,Self employed,"?100,000 – ?199,000",Abuja,MTN,4,Weekly,8,Laptop,Online learning or research,"7,500.00",One,Satisfied,Fairly affordable,MTN,Very often,"Yes, due to other reasons",Poor network speed
18-25,Female,Graduate,Self employed,"?100,000 – ?199,000",Kwara,Glo,5,Weekly,8,Smartphone,Streaming videos or music,"7,500.00",Two,Very satisfied,Neutral,Glo,Very often,"Yes, due to other reasons",Lack of transparency in data usage
36-45,Male,Undergraduate,Student,"Below ?50,000",Lagos,Airtel,2,Every 2–3 days,8,Smartphone,Streaming videos or music,"4,000.00",One,Neutral,Quite expensive,MTN,Occasionally,"Yes, due to other reasons",Limited coverage in my area
18-25,Female,Graduate,Self employed,"?100,000 – ?199,000",Kwara,MTN,3,Weekly,8,Smartphone,Online learning or research,"7,500.00",One,Satisfied,Quite expensive,Glo,Very often,"Yes, due to high cost",Lack of transparency in data usage
18-25,Female,Postgraduate,Self employed,"?100,000 – ?199,000",Kwara,Glo,5,Weekly,8,Laptop,Online learning or research,"10,000.00",Two,Very satisfied,Fairly affordable,MTN,Very often,"Yes, due to other reasons",Data finishes too fast
36-45,Male,Postgraduate,Employed,"?100,000 – ?199,000",Abuja,MTN,4,Monthly,8,Laptop,Online learning or research,"10,000.00",Two,Satisfied,Fairly affordable,Airtel,Very often,"Yes, due to poor network quality",Poor network speed
